especie_agregada,id_especie_agregada
CANINOS Y FELINOS DOMESTICOS,1
CANINOS Y FELINOS,2
"AVES, CANINOS Y FELINOS DOMESTICOS",3
"CANINOS Y FELINOS DOMESTICOS, GALLOS",4
"AVES POLLO DE ENGORDA, CANINOS Y FELINOS DOMESTICOS",5
"CANINOS Y FELINOS DOMESTICOS, AVES POLLOS DE ENGORDA, GALLINAS REPRODUCTORAS DE REMPLAZO Y DE COMBATE",6
"BOVINOS (LECHE Y CARNE), CAPRINOS, OVINOS , CANINOS Y FELINOS",7
"BOVINOS (CARNE Y LECHE), EQUINOS NO DESTINADOS AL CONSUMO HUMANO, OVINOS, CAPRINOS, CANINOS Y FELINOS",8
"BOVINOS LECHE Y CARNE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",9
"BOVINOS (CARNE Y LECHE), EQUINOS, OVINOS (CARNE Y LECHE), CAPRINOS (CARNE), CANINOS Y FELINOS",10
"BOVINOS (CARNE, LECHE) EQUINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",11
"BOVINOS (CARNE Y LECHE) EQUINOS, CANINOS Y FELINOS",12
"BOVINOS (CARNE Y LECHE) EQUINOS, OVINOS, CAPRINOS, (CARNEY LECHE) CANINOS Y FELINOS",13
"BOVINOS, OVINOS, CAPRINOS, PORCINOS, EQUINOS, CANINOS Y FELINOS",14
"BOVINOS, EQUINOS, PORCINOS, OVINOS, CANINOS Y FELINOS",15
CANINOS Y FELINOS DOMESTICOS VASODILATADOR E INOTROPICO,16
"BOVINOS, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",17
"BOVINOS, TERNEROS Y CAPRINOS (PRODUCTORES DE CARNE Y LECHE), EQUINOS ( NO DESTINADOS AL CONSUMO HUMANO), OVINOS, PORCINOS, CANINOS Y FELINOS",18
"BOVINOS, PORCINOS, OVINOS, CANINOS Y FELINOS",19
"BOVINOS (CARNE), EQUINOS, PORCINOS, OVINOS, CANINOS Y FELINOS DOMESTICOS",20
"CANINOS Y FELINOS DOMESTICOS, BOVINOS, OVINOS Y CAPRINOS (LECHE Y CARNE), EQUINOS Y PORCINOS",21
CANINOS Y FELINOS (DOMESTICOS),22
"BOVINOS (PRODUCTORES DE LECHE Y CARNE), EQUINOS, OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS DOMESTICOS",23
"BOVINOS (CARNE Y LECHE) OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS DOMESTICOS",24
"BOVINOS (CARNE Y LECHE), OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS",25
"PORCINOS, CANINOS Y FELINOS",26
"BOVINOS ENGORDA, LECHE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",27
"BOVINOS DE ENGORDA Y PRODUCCION DE LECHE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",28
"BOVINOS DE ENGORDA Y PRODUCCION DE LECHE, EQUINOS, PORCINOS, CAPRINOS, OVINOS, CANINOS Y FELINOS",29
"BOVINOS DE ENGORDA Y LECHE, EQUINOS, PORCINOS, CAPRINOS, OVINOS, CANINOS Y FELINOS",30
"BOVINOS, OVINOS, CAPRINOS, CARNE Y LCEHE, EQUINOS, CERDOS Y AVES POLLOS Y PAVOS DE ENGORDA CANINOS Y FELINOS",31
"BOVINOS (PRODUCTORES DE CARNE) PORCINOS, AVES (POLLO DE ENGORDA, AVES DE COMBATE) CANINOS Y FELINOS",32
"BOVINOS DE ENGORDA Y PRODUCCIÓN DE LECHE, EQUINOS, PORCINOS, CAPRINOCS, OVINOCS, CANINOS Y FELINOS",33
"BOIVINOS LECHE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",34
"BOVINOS, PORCINOS, CANINOS Y FELINOS",35
"BOVINOS, EQUINOS, OVINOS, CAPRIN OS, PORCINOS, CANINOS Y FELINOS",36
"BOVINOS (LECHE Y CARNE), EQUINOS NO DESTINADOS A CONSUMO HUMANO, OVINOS, CAPRINOS, CANINOS Y FELINOS (DOMESTICOS)",37
"BOVINOS CRANE Y LECHE, EQUINOS, PORCINBOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",38
"BOVINOS (CARNE Y LECHE), EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS DOMESTICOS",39
"BOVINOS CARNE, EQUINOS, PORCINOS, OVINOS CAPRINOS, CANINOS Y FELINOS",40
"BOVINOS (PRODUCTORES DE CARNE Y LECHE) EQUINOS, PORCINOS, OVINOS, CAPRINOS, AVES (REPRODUCTORAS, ENGORDA Y DE COMBATE) CANINOS Y FELINOS",41
"BOVINOS, CANINOS Y FELINOS",42
"BOVINOS (LECHE Y CARNE), PORCINOS, EQUINOS, OVINOS, CANINOS Y FELINOS (DOMESTICOS)",43
"BOVINOS, EQUINOS, PORCINOS, OVINOS CAPRINOS, CANINOS Y FELINOS DOMESTICOS",44
"BOVINOS PRODUCTORES DE CARNE Y LECHE, OVIOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS",45
"BOVINOS PRODUCTORES LECHE Y CARNE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",46
"BOVINOS (PRODUCTORES DE CARNE Y LECHE), EQUINOS, PORCINOS, CANINOS Y FELINOS (DOMESTICOS)",47
"BOVINOS (PRODUCTORES DE CARNE), PORCINOS CANINOS Y FELINOS (DOMESTICOS)",48
"BOVINOS (PRODUCTORES DE CARNE Y LECHE), OVINOS, CAPRINOS, CANINOS Y FELINOS (DOMESTICOS)",49
"EQUINOS, CANINOS Y FELINOS",50
"BOVINOS (CARNE Y LECHE) EQUINOS, OVINOS, CAPRINOS, PORCINOS CANINOS Y FELINOS",51
