fk_medicamento,fk_especie_individual
1,9
1,15
2,9
2,15
3,9
3,15
4,9
4,15
5,9
5,15
6,9
6,15
7,9
7,15
8,9
8,15
9,9
9,15
10,9
10,15
11,9
11,15
12,9
12,15
13,9
13,15
14,9
14,15
15,9
15,15
16,9
16,15
17,9
17,15
18,2
18,9
18,15
19,9
19,15
20,9
20,15
21,9
21,15
22,9
22,15
22,17
23,9
23,15
24,9
24,15
25,9
25,15
26,9
26,15
27,9
27,15
28,9
28,15
29,9
29,15
30,4
30,9
30,15
31,9
31,15
32,9
32,15
33,9
33,15
34,9
34,15
35,9
35,15
36,9
36,15
37,9
37,15
38,9
38,15
39,9
39,15
40,9
40,15
41,9
41,15
42,9
42,15
43,9
43,15
44,9
44,15
45,9
45,15
46,9
46,15
47,9
47,15
48,9
48,15
49,9
49,15
50,9
50,15
51,9
51,15
52,9
52,15
53,9
53,15
54,9
54,15
55,9
55,15
56,9
56,15
57,9
57,15
58,9
58,15
59,9
59,15
59,4
59,16
59,3
60,9
60,15
61,9
61,15
62,9
62,15
63,9
63,15
64,9
64,15
65,9
65,15
66,9
66,15
67,9
67,15
68,9
68,15
69,9
69,15
70,9
70,15
71,9
71,15
72,9
72,15
73,9
73,15
74,9
74,15
75,9
75,15
76,9
76,15
77,9
77,15
78,9
78,15
79,9
79,15
80,9
80,15
81,9
81,15
82,9
82,15
83,9
83,15
84,9
84,15
85,9
85,15
86,9
86,15
87,9
87,15
88,9
88,15
89,9
89,15
90,7
90,1
90,26
90,9
90,15
91,9
91,15
92,7
92,14
92,26
92,1
92,9
92,15
93,7
93,14
93,3
93,26
93,1
93,9
93,15
94,7
94,14
94,26
94,1
94,9
94,15
95,7
95,14
95,26
95,1
95,9
95,15
96,7
96,14
96,9
96,15
97,7
97,14
97,26
97,1
97,9
97,15
98,9
98,15
99,7
99,26
99,1
99,3
99,14
99,9
99,15
100,7
100,14
100,3
100,26
100,9
100,15
101,9
101,15
102,9
102,15
103,9
103,15
104,9
104,15
105,9
105,15
106,9
106,15
107,9
107,15
108,9
108,15
109,9
109,15
110,9
110,15
111,9
111,15
112,7
112,14
112,3
112,26
112,1
112,9
112,15
113,9
113,15
114,7
114,14
114,3
114,26
114,1
114,9
114,15
115,9
115,15
116,7
116,1
116,26
116,3
116,9
116,15
117,7
117,3
117,26
117,9
117,15
118,7
118,26
118,1
118,3
118,9
118,15
119,7
119,26
119,1
119,3
119,9
119,15
120,7
120,26
120,1
120,3
120,9
120,15
121,7
121,26
121,1
121,3
121,9
121,15
122,7
122,14
122,3
122,26
122,1
122,9
122,15
123,7
123,14
123,3
123,26
123,1
123,9
123,15
124,7
124,14
124,3
124,26
124,1
124,9
124,15
125,7
125,14
125,3
125,26
125,1
125,9
125,15
126,7
126,14
126,3
126,26
126,1
126,9
126,15
127,7
127,14
127,3
127,26
127,1
127,9
127,15
128,7
128,14
128,3
128,26
128,1
128,9
128,15
129,7
129,14
129,3
129,26
129,1
129,9
129,15
130,7
130,14
130,3
130,26
130,1
130,9
130,15
131,7
131,14
131,3
131,26
131,1
131,9
131,15
132,7
132,14
132,3
132,26
132,1
132,9
132,15
133,7
133,14
133,3
133,26
133,1
133,9
133,15
134,7
134,14
134,3
134,26
134,1
134,9
134,15
135,7
135,14
135,3
135,26
135,1
135,9
135,15
136,25
136,9
136,15
137,7
137,14
137,3
137,26
137,1
137,9
137,15
138,7
138,14
138,3
138,26
138,1
138,9
138,15
139,7
139,14
139,3
139,26
139,1
139,9
139,15
140,7
140,14
140,3
140,26
140,9
140,15
141,7
141,14
141,3
141,26
141,1
141,9
141,15
142,7
142,14
142,3
142,26
142,1
142,9
142,15
143,14
143,9
143,15
144,7
144,14
144,3
144,26
144,1
144,9
144,15
145,7
145,14
145,3
145,26
145,1
145,9
145,15
146,7
146,14
146,3
146,26
146,1
146,9
146,15
147,7
147,14
147,3
147,26
147,1
147,9
147,15
148,7
148,14
148,3
148,26
148,1
148,9
148,15
149,7
149,14
149,3
149,26
149,1
149,9
149,15
150,7
150,14
150,3
150,26
150,1
150,9
150,15
151,9
151,15
152,9
152,15
153,9
153,15
154,9
154,15
155,7
155,14
155,3
155,9
155,15
156,7
156,14
156,3
156,9
156,15
157,7
157,14
157,3
157,9
157,15
158,14
158,3
158,9
158,15
159,9
159,15
160,9
160,15
161,9
161,15
162,9
162,15
163,9
163,15
164,7
164,14
164,3
164,9
164,15
165,7
165,14
165,3
165,9
165,15
166,7
166,14
166,3
166,9
166,15
167,9
167,15
168,9
168,15
169,9
169,15
170,9
170,15
171,9
171,15
172,9
172,15
173,9
173,15
174,9
174,15
175,7
175,14
175,3
175,26
175,1
175,9
175,15
176,7
176,14
176,3
176,26
176,1
176,9
176,15
177,7
177,14
177,3
177,26
177,1
177,9
177,15
178,7
178,14
178,3
178,26
178,1
178,9
178,15
179,7
179,14
179,3
179,26
179,1
179,9
179,15
180,7
180,14
180,3
180,26
180,1
180,9
180,15
181,7
181,14
181,3
181,26
181,1
181,9
181,15
182,7
182,14
182,3
182,26
182,1
182,9
182,15
183,7
183,14
183,3
183,26
183,1
183,9
183,15
184,7
184,14
184,3
184,26
184,1
184,9
184,15
185,7
185,14
185,3
185,9
185,15
186,7
186,14
186,3
186,9
186,15
187,7
187,14
187,3
187,9
187,15
188,7
188,14
188,3
188,9
188,15
189,7
189,14
189,3
189,9
189,15
190,7
190,14
190,3
190,9
190,15
191,7
191,14
191,3
191,9
191,15
192,7
192,14
192,3
192,9
192,15
193,7
193,14
193,3
193,9
193,15
194,7
194,14
194,3
194,9
194,15
195,7
195,14
195,3
195,9
195,15
196,7
196,14
196,3
196,9
196,15
197,7
197,14
197,3
197,26
197,1
197,9
197,15
198,7
198,14
198,3
198,26
198,1
198,9
198,15
199,7
199,14
199,3
199,26
199,1
199,9
199,15
200,7
200,14
200,3
200,26
200,1
200,9
200,15
201,7
201,14
201,3
201,26
201,1
201,9
201,15
202,7
202,14
202,3
202,26
202,1
202,9
202,15
203,7
203,14
203,3
203,26
203,1
203,9
203,15
204,7
204,14
204,3
204,26
204,1
204,9
204,15
205,7
205,14
205,3
205,26
205,1
205,9
205,15
206,7
206,14
206,3
206,26
206,1
206,9
206,15
207,7
207,14
207,3
207,26
207,1
207,9
207,15
208,9
208,15
209,9
209,15
210,9
210,15
211,9
211,15
212,9
212,15
213,9
213,15
214,9
214,15
215,26
215,1
215,9
215,15
216,26
216,1
216,9
216,15
217,26
217,1
217,9
217,15
218,9
218,15
219,9
219,15
220,7
220,3
220,26
220,1
220,9
220,15
221,7
221,3
221,26
221,1
221,9
221,15
222,7
222,3
222,26
222,1
222,9
222,15
223,7
223,14
223,3
223,26
223,1
223,9
223,15
224,9
224,15
225,7
225,14
225,3
225,26
225,1
225,9
225,15
226,7
226,14
226,3
226,26
226,1
226,9
226,15
227,9
227,15
228,9
228,15
229,9
229,15
230,9
230,15
231,7
231,14
231,3
231,26
231,1
231,9
231,15
232,7
232,14
232,3
232,26
232,1
232,9
232,15
233,9
233,15
234,9
234,15
235,7
235,14
235,3
