nombre_producto,id_producto
PET BEAUTY SPRAY ANTIPULGAS,1
EMETRON,2
CYCLOSUPRIM,3
COCCIPLANT PE,4
CRONVAL HD 1.25,5
CRONVAL HD 2.5,6
CRONVAL HD 5,7
TORFAN 4 MG,8
TORFAN 6 MG,9
KARBAMOL 100,10
ENROFLOXACIN 5%,11
AURIPET,12
BIFLOX,13
IACFLOX 10%,14
NEW COMPLEX,15
COMPLEJO B FORTE,16
PROGESTERONA INYECTABLE CHEMINOVA,17
FLUTYL AP,18
PENICOLL 30,19
CUTICLIN,20
GALGOCAL 6000,21
VITAMINA B12 CON B15 5000,22
BIOHEX SHAMPOO,23
VITA-STRONG 3,24
FLUNIXIN-MEG,25
RX TRAMAPLEX,26
INNOPRAMID,27
KALMAX,28
ANIMAL FRESH,29
KANEOTIM,30
SULFATO DE ATROPINA,31
INNOHEART,32
HEMOFINN,33
MARBIN,34
GONADOTROPINA CORIONICA,35
BENCIPENESTREB,36
SULFAMIN-P,37
HISTAFFLER,38
DIURIFFLER,39
TOALLITAS LIMPIADORAS DE DIENTES Y ENCIAS,40
KETO JET NRV*,41
MEBENDA PET'S NRV,42
METRONIDA JET NRV INYECTABLE,43
DERMATOPE NOW 70,44
FENBENDA PET'S NRV L,45
CLINDA PET'S NRV M SOLUCION ORAL,46
MICO PET'S NRV,47
MICO PET'S XL NRV,48
TACROLIMUS UNGÜENTO,49
PREDNI PET´S NRV,50
SEVERIN INYECTABLE,51
PEROXIBEN PLUS NRV,52
FLOXI PET´S 10 NRV,53
CIKEX OTIC NRV*,54
MICO PET´S PLUS NRV SHAMPOO,55
OSO-PET´S NRV,56
BIOSUSPEND RETARD,57
BENZATARD,58
FANAOX QV,59
TETRADOX C,60
AMINOX TABLETAS,61
ENROL 5,62
GASTRYL,63
CARTIMED,64
CLORHEXIDEN GEL,65
AMOXICAN,66
SULTRICAN,67
MELOXICAN,68
MULTIVIT-B,69
COCCITRAK 5%,70
GRINOLON,71
PROGES,72
YAIL-SPRAY,73
DOLETHAL,74
